response_id,submission_date,age_group,gender,satisfaction_score,product_quality,customer_service,would_recommend,annual_income,region,comments
RESP00250,2024-01-01,56-65,Male,3,Excellent,Excellent,Yes,$50k-$75k,West,
RESP00102,2024-01-01,36-45,Male,4,Good,Excellent,Yes,$75k-$100k,South,Very satisfied
RESP00351,2024-01-01,36-45,Female,5,Very Good,Fair,Yes,$25k-$50k,South,
RESP00222,2024-01-01,18-25,Female,4,Very Good,Very Good,Yes,$50k-$75k,West,Very satisfied
RESP00124,2024-01-01,46-55,Male,5,Very Good,Excellent,No,,East,
RESP00110,2024-01-01,26-35,Male,5,Good,Excellent,No,$50k-$75k,East,
RESP00238,2024-01-02,36-45,Female,,Very Good,Very Good,Yes,$75k-$100k,South,Not what I expected
RESP00384,2024-01-02,65+,Male,5,,Fair,Yes,>$100k,East,Average
RESP00105,2024-01-02,36-45,Male,3,Very Good,Excellent,No,$25k-$50k,Central,
RESP00285,2024-01-03,18-25,Male,,Very Good,Very Good,Yes,$25k-$50k,South,Excellent experience
RESP00364,2024-01-03,46-55,Female,4,Excellent,Good,Maybe,<$25k,North,
RESP00258,2024-01-04,46-55,Male,4,Excellent,Very Good,Yes,>$100k,Central,Average
RESP00463,2024-01-04,,Male,4,Excellent,Excellent,,$50k-$75k,Central,Could be better
RESP00294,2024-01-04,18-25,Female,4,Excellent,Excellent,Yes,$75k-$100k,Central,Had some issues
RESP00409,2024-01-04,36-45,Male,5,Excellent,Excellent,No,$50k-$75k,East,Not what I expected
RESP00053,2024-01-04,36-45,Female,2,Very Good,Excellent,Yes,$50k-$75k,East,Could be better
RESP00330,2024-01-04,46-55,Other,4,Excellent,Very Good,Yes,,Central,
RESP00224,2024-01-04,36-45,Male,3,Very Good,Excellent,No,$50k-$75k,North,
RESP00266,2024-01-05,56-65,Female,4,Good,Excellent,Yes,$50k-$75k,Central,Had some issues
RESP00138,2024-01-05,56-65,Other,4,Excellent,Fair,Yes,$50k-$75k,West,Could be better
RESP00140,2024-01-05,56-65,Male,4,Good,Very Good,Yes,$75k-$100k,South,
RESP00325,2024-01-05,65+,,4,Good,Excellent,Yes,$25k-$50k,Central,Very satisfied
RESP00165,2024-01-05,,Prefer not to say,,Fair,Very Good,Maybe,$25k-$50k,East,Not what I expected
RESP00346,2024-01-05,36-45,Male,1,Very Good,Good,Yes,$25k-$50k,South,Could be better
RESP00310,2024-01-05,56-65,Female,,Poor,Excellent,Maybe,>$100k,West,
RESP00007,2024-01-05,26-35,Female,4,Excellent,Very Good,Yes,,North,Had some issues
RESP00353,2024-01-06,46-55,Male,4,Good,Excellent,Yes,>$100k,West,Great service!
RESP00082,2024-01-06,26-35,Female,3,Very Good,Excellent,Maybe,$75k-$100k,North,Very satisfied
RESP00232,2024-01-06,18-25,,3,Good,Fair,Yes,$50k-$75k,South,Not what I expected
RESP00012,2024-01-06,36-45,Male,4,Very Good,Very Good,Yes,$50k-$75k,Central,Could be better
RESP00359,2024-01-06,46-55,Male,5,Excellent,Very Good,No,$25k-$50k,North,Not what I expected
RESP00017,2024-01-06,36-45,Male,,Very Good,Excellent,No,<$25k,East,
RESP00412,2024-01-07,46-55,Female,4,Excellent,Poor,Maybe,$25k-$50k,South,Excellent experience
RESP00022,2024-01-07,,Male,5,Good,Good,Maybe,$25k-$50k,South,Not what I expected
RESP00415,2024-01-07,26-35,Female,4,Excellent,Fair,Yes,>$100k,East,
RESP00091,2024-01-07,36-45,Female,4,Very Good,Excellent,Yes,>$100k,Central,Excellent experience
RESP00034,2024-01-07,26-35,Male,5,Excellent,Very Good,,$50k-$75k,West,
RESP00407,2024-01-07,36-45,Male,4,Excellent,Fair,Yes,$75k-$100k,North,Had some issues
RESP00147,2024-01-07,26-35,Male,5,Very Good,Fair,Yes,<$25k,East,Could be better
RESP00132,2024-01-07,36-45,Female,5,Good,Excellent,Yes,$50k-$75k,North,
RESP00135,2024-01-08,46-55,Male,3,Excellent,Fair,Yes,,North,Could be better
RESP00189,2024-01-08,18-25,Female,4,Good,Very Good,Maybe,$50k-$75k,North,Could be better
RESP00277,2024-01-08,36-45,Male,5,Good,Good,Yes,,North,Great service!
RESP00291,2024-01-09,36-45,Female,4,Excellent,Very Good,,>$100k,South,Could be better
RESP00497,2024-01-09,46-55,Male,4,Very Good,Very Good,Yes,$25k-$50k,East,Could be better
RESP00464,2024-01-09,56-65,Other,5,Excellent,Very Good,Maybe,$50k-$75k,North,
