visit_id,timestamp,page_url,session_duration_sec,device_type,browser,traffic_source,country,bounce,conversion,page_views
VISIT001178,2024-01-01 00:00:00,/blog,394,Mobile,Chrome,Direct,France,True,False,6
VISIT001577,2024-01-01 01:00:00,/blog,1641,Desktop,Safari,Organic Search,Japan,True,False,17
VISIT000779,2024-01-01 02:00:00,/product/sports,1438,Tablet,Firefox,Paid Ads,Germany,False,False,11
VISIT001423,2024-01-01 05:00:00,/products,1197,Mobile,Chrome,Direct,Japan,False,False,5
VISIT000617,2024-01-01 09:00:00,/product/electronics,2710,Desktop,Chrome,Organic Search,Australia,True,False,4
VISIT000811,2024-01-02 14:00:00,/cart,266,Desktop,Chrome,Email,Australia,True,False,12
VISIT000359,2024-01-02 15:00:00,/blog,2792,Desktop,Safari,Email,Germany,False,False,13
VISIT000288,2024-01-02 17:00:00,/cart,3044,Mobile,Edge,Social Media,USA,False,False,9
VISIT000730,2024-01-02 19:00:00,/blog,1676,Desktop,Safari,Direct,Canada,True,False,13
VISIT000654,2024-01-02 20:00:00,/blog,1751,Tablet,Firefox,Social Media,Japan,True,False,17
VISIT000097,2024-01-02 22:00:00,/checkout,613,Desktop,Chrome,Organic Search,Australia,True,False,15
VISIT000239,2024-01-03 00:00:00,/product/electronics,2631,Mobile,Safari,Paid Ads,Canada,True,False,14
VISIT001586,2024-01-03 05:00:00,/about,1496,Desktop,Edge,Social Media,Germany,False,False,10
VISIT000501,2024-01-03 06:00:00,/blog,2737,Desktop,Chrome,Paid Ads,USA,False,False,17
VISIT000904,2024-01-03 06:00:00,/contact,304,Desktop,Chrome,Social Media,France,False,False,9
VISIT000658,2024-01-03 10:00:00,/cart,3280,Mobile,Firefox,Social Media,Canada,False,False,5
VISIT000663,2024-01-03 10:00:00,/product/sports,3311,Tablet,Chrome,Direct,Canada,False,False,17
VISIT001198,2024-01-03 11:00:00,/blog,1097,Desktop,Edge,Direct,France,True,False,18
VISIT000190,2024-01-03 12:00:00,/home,679,Mobile,Safari,Direct,Australia,True,False,14
VISIT001260,2024-01-03 19:00:00,/home,2114,Desktop,Chrome,Direct,Japan,True,False,16
VISIT000944,2024-01-03 20:00:00,/checkout,1617,Desktop,Chrome,Direct,UK,True,False,17
VISIT001807,2024-01-03 20:00:00,/products,3110,Desktop,Chrome,Social Media,USA,False,False,14
VISIT001186,2024-01-03 20:00:00,/products,1720,Desktop,Safari,Direct,USA,False,False,6
VISIT000150,2024-01-04 00:00:00,/checkout,1369,Desktop,Chrome,Direct,Canada,False,False,2
VISIT001345,2024-01-04 01:00:00,/product/clothing,3509,Mobile,Firefox,Social Media,Japan,False,False,19
VISIT001192,2024-01-04 02:00:00,/blog,1464,Desktop,Edge,Direct,Canada,False,False,18
VISIT000994,2024-01-04 07:00:00,/product/sports,2642,Desktop,Safari,Social Media,France,False,False,11
VISIT000859,2024-01-04 07:00:00,/blog,1436,Desktop,Firefox,Direct,USA,True,False,14
VISIT000431,2024-01-04 14:00:00,/contact,3357,Desktop,Chrome,Direct,France,True,False,2
VISIT001177,2024-01-04 14:00:00,/cart,79,Desktop,Chrome,Direct,USA,True,False,16
VISIT000759,2024-01-04 15:00:00,/about,2253,Mobile,Firefox,Direct,Germany,True,False,9
VISIT000282,2024-01-04 19:00:00,/product/sports,3296,Desktop,Chrome,Direct,France,True,False,14
VISIT001651,2024-01-04 21:00:00,/checkout,176,Mobile,Chrome,Organic Search,Australia,True,False,14
VISIT000945,2024-01-05 00:00:00,/home,2895,Mobile,Safari,Organic Search,Australia,True,False,12
VISIT001291,2024-01-05 07:00:00,/product/clothing,2131,Desktop,Chrome,Organic Search,France,False,False,6
VISIT000001,2024-01-05 08:00:00,/product/electronics,760,Desktop,Firefox,Organic Search,Canada,True,False,12
VISIT000055,2024-01-05 10:00:00,/home,748,Mobile,Chrome,Organic Search,USA,False,False,19
VISIT001486,2024-01-05 11:00:00,/product/electronics,1815,Mobile,Chrome,Direct,Germany,True,False,5
VISIT001763,2024-01-05 16:00:00,/product/sports,2942,Mobile,Edge,Social Media,Japan,False,False,7
VISIT001264,2024-01-06 00:00:00,/product/sports,3374,Mobile,Firefox,Paid Ads,France,True,False,3
VISIT001972,2024-01-06 02:00:00,/blog,2507,Desktop,Edge,Direct,Germany,False,False,18
VISIT001337,2024-01-06 03:00:00,/products,90,Mobile,Firefox,Social Media,USA,True,False,6
VISIT000792,2024-01-06 05:00:00,/product/clothing,3095,Tablet,Safari,Organic Search,UK,False,False,8
VISIT001582,2024-01-06 13:00:00,/home,3022,Desktop,Firefox,Social Media,Japan,False,False,2
VISIT000592,2024-01-06 15:00:00,/product/electronics,3356,Mobile,Safari,Social Media,Germany,True,True,4
VISIT000234,2024-01-06 18:00:00,/product/sports,3206,Desktop,Opera,Direct,France,True,False,14
VISIT001846,2024-01-07 06:00:00,/product/clothing,1878,Tablet,Firefox,Organic Search,Canada,False,False,14
VISIT001789,2024-01-07 06:00:00,/cart,1892,Desktop,Safari,Organic Search,Japan,False,False,8
VISIT000556,2024-01-07 08:00:00,/contact,2025,Mobile,Chrome,Organic Search,Australia,False,False,1
VISIT000397,2024-01-07 08:00:00,/product/electronics,991,Desktop,Chrome,Organic Search,Germany,False,False,3
VISIT001430,2024-01-07 09:00:00,/products,1123,Desktop,Chrome,Direct,Australia,False,False,5
VISIT001816,2024-01-07 12:00:00,/blog,1687,Mobile,Firefox,Email,USA,False,False,12
VISIT001247,2024-01-07 14:00:00,/contact,1985,Mobile,Chrome,Paid Ads,Germany,False,False,5
VISIT001031,2024-01-07 18:00:00,/about,2035,Desktop,Firefox,Direct,Japan,True,False,5
VISIT001386,2024-01-08 06:00:00,/blog,3259,Desktop,Chrome,Organic Search,France,False,False,14
VISIT001836,2024-01-08 08:00:00,/product/electronics,2618,Desktop,Safari,Direct,USA,False,False,13
VISIT001591,2024-01-08 09:00:00,/cart,2178,Mobile,Chrome,Paid Ads,USA,True,False,5
VISIT001251,2024-01-08 13:00:00,/product/sports,429,Mobile,Firefox,Organic Search,Germany,False,False,3
VISIT000534,2024-01-08 15:00:00,/blog,195,Desktop,Opera,Paid Ads,Japan,False,True,7
VISIT001770,2024-01-08 18:00:00,/blog,1264,Desktop,Chrome,Organic Search,Australia,True,False,3
VISIT001094,2024-01-08 21:00:00,/home,1056,Mobile,Chrome,Direct,USA,False,False,2
VISIT000212,2024-01-09 02:00:00,/product/clothing,2207,Tablet,Firefox,Paid Ads,Australia,False,False,4
VISIT001737,2024-01-09 06:00:00,/about,1947,Mobile,Chrome,Organic Search,UK,False,False,2
VISIT000170,2024-01-09 10:00:00,/contact,1171,Desktop,Chrome,Direct,Australia,False,False,6
VISIT000004,2024-01-09 15:00:00,/products,3450,Mobile,Edge,Organic Search,Australia,True,False,15
VISIT001948,2024-01-09 21:00:00,/products,232,Desktop,Chrome,Direct,UK,False,False,4
VISIT001935,2024-01-09 22:00:00,/home,2542,Desktop,Edge,Organic Search,UK,False,False,19
VISIT001113,2024-01-09 23:00:00,/product/sports,374,Desktop,Chrome,Direct,UK,True,False,11
VISIT000842,2024-01-10 08:00:00,/product/clothing,1354,Desktop,Chrome,Email,UK,False,True,12
VISIT001137,2024-01-10 18:00:00,/product/electronics,1035,Desktop,Chrome,Direct,Australia,True,False,15
VISIT001918,2024-01-11 01:00:00,/product/electronics,3048,Tablet,Opera,Direct,USA,True,False,19
VISIT001860,2024-01-11 01:00:00,/product/electronics,3552,Desktop,Chrome,Organic Search,Australia,False,False,19
VISIT000265,2024-01-11 12:00:00,/home,3074,Tablet,Firefox,Social Media,UK,True,False,14
VISIT000400,2024-01-11 15:00:00,/about,3539,Mobile,Firefox,Organic Search,Japan,True,False,15
VISIT001463,2024-01-11 16:00:00,/product/clothing,2241,Desktop,Chrome,Direct,Australia,False,False,7
VISIT001275,2024-01-11 19:00:00,/checkout,646,Desktop,Chrome,Organic Search,UK,False,False,2
VISIT001469,2024-01-11 20:00:00,/checkout,2243,Mobile,Chrome,Email,UK,False,False,3
VISIT000026,2024-01-12 00:00:00,/contact,2420,Mobile,Edge,Direct,Canada,True,False,19
VISIT001969,2024-01-12 00:00:00,/checkout,3377,Desktop,Opera,Organic Search,USA,True,False,1
VISIT000930,2024-01-12 02:00:00,/product/electronics,1468,Desktop,Safari,Organic Search,USA,True,False,3
VISIT001301,2024-01-12 10:00:00,/cart,246,Desktop,Safari,Email,USA,False,False,4
VISIT000765,2024-01-12 11:00:00,/blog,157,Tablet,Chrome,Social Media,France,False,False,16
VISIT001579,2024-01-12 19:00:00,/about,2366,Desktop,Chrome,Direct,Germany,False,False,19
VISIT001138,2024-01-12 23:00:00,/product/sports,1569,Desktop,Chrome,Social Media,Germany,False,False,18
VISIT000775,2024-01-13 07:00:00,/checkout,238,Mobile,Chrome,Direct,Canada,False,False,8
VISIT000407,2024-01-13 12:00:00,/about,3211,Desktop,Safari,Social Media,Canada,False,False,9
VISIT001633,2024-01-13 18:00:00,/cart,2538,Desktop,Chrome,Organic Search,Japan,True,False,2
VISIT000743,2024-01-13 21:00:00,/checkout,22,Desktop,Firefox,Email,Canada,False,False,2
VISIT001602,2024-01-13 21:00:00,/checkout,298,Mobile,Chrome,Email,Germany,False,False,9
VISIT000216,2024-01-13 22:00:00,/product/sports,308,Mobile,Chrome,Email,Australia,False,False,16
VISIT000605,2024-01-14 07:00:00,/product/clothing,1746,Desktop,Safari,Social Media,Japan,False,False,14
VISIT000544,2024-01-14 09:00:00,/product/clothing,12,Mobile,Edge,Organic Search,Japan,False,False,8
VISIT001393,2024-01-14 11:00:00,/blog,775,Mobile,Chrome,Organic Search,USA,False,False,9
VISIT001837,2024-01-14 13:00:00,/blog,3282,Desktop,Chrome,Social Media,France,False,False,19
VISIT000469,2024-01-14 14:00:00,/home,2723,Desktop,Chrome,Direct,France,True,False,19
VISIT000160,2024-01-14 14:00:00,/blog,3246,Desktop,Safari,Social Media,Australia,False,False,12
VISIT000102,2024-01-14 15:00:00,/products,3067,Mobile,Edge,Organic Search,Germany,False,False,18
VISIT000451,2024-01-14 19:00:00,/home,1656,Desktop,Chrome,Direct,UK,True,False,9
VISIT000088,2024-01-14 20:00:00,/product/clothing,820,Tablet,Chrome,Organic Search,UK,False,False,5
VISIT001504,2024-01-14 21:00:00,/products,1155,Mobile,Chrome,Organic Search,Japan,False,False,10
VISIT001659,2024-01-15 01:00:00,/product/sports,2530,Desktop,Firefox,Direct,Canada,False,False,11
VISIT001993,2024-01-15 06:00:00,/cart,2895,Mobile,Chrome,Organic Search,Germany,True,False,3
VISIT000287,2024-01-15 06:00:00,/home,1314,Desktop,Chrome,Organic Search,Canada,False,False,5
VISIT001346,2024-01-15 08:00:00,/checkout,2925,Desktop,Safari,Organic Search,Canada,False,False,16
VISIT001318,2024-01-15 09:00:00,/home,3412,Mobile,Firefox,Organic Search,USA,False,False,12
VISIT000907,2024-01-15 10:00:00,/products,558,Desktop,Chrome,Direct,Australia,True,False,11
VISIT000460,2024-01-15 14:00:00,/checkout,1864,Mobile,Chrome,Organic Search,Japan,True,False,1
VISIT000536,2024-01-15 17:00:00,/about,1243,Mobile,Edge,Organic Search,Australia,True,False,7
VISIT000625,2024-01-15 19:00:00,/product/sports,1257,Desktop,Edge,Organic Search,USA,False,False,17
VISIT001794,2024-01-15 20:00:00,/cart,277,Desktop,Edge,Direct,USA,True,False,16
VISIT001460,2024-01-15 22:00:00,/product/electronics,1996,Mobile,Chrome,Organic Search,Japan,False,False,2
VISIT000178,2024-01-15 23:00:00,/checkout,2857,Mobile,Chrome,Email,UK,True,False,1
VISIT001747,2024-01-16 07:00:00,/home,698,Mobile,Chrome,Paid Ads,USA,False,False,6
VISIT000247,2024-01-16 12:00:00,/checkout,1115,Mobile,Firefox,Direct,Germany,False,False,10
VISIT000468,2024-01-16 20:00:00,/product/electronics,1744,Desktop,Safari,Email,France,False,False,4
VISIT000046,2024-01-17 00:00:00,/blog,3206,Tablet,Firefox,Social Media,Japan,False,False,18
VISIT001010,2024-01-17 06:00:00,/about,869,Desktop,Chrome,Organic Search,Japan,True,False,11
VISIT001480,2024-01-17 18:00:00,/about,198,Mobile,Chrome,Email,Canada,False,False,15
VISIT001691,2024-01-17 19:00:00,/contact,182,Mobile,Chrome,Organic Search,USA,True,False,13
VISIT001249,2024-01-17 22:00:00,/contact,1989,Tablet,Chrome,Organic Search,France,True,False,15
VISIT001669,2024-01-18 05:00:00,/blog,2586,Mobile,Firefox,Email,France,False,False,3
VISIT000106,2024-01-18 08:00:00,/product/clothing,1405,Mobile,Chrome,Paid Ads,Canada,True,False,5
VISIT000726,2024-01-18 18:00:00,/home,2944,Tablet,Chrome,Organic Search,USA,True,False,17
VISIT001329,2024-01-18 18:00:00,/checkout,2871,Mobile,Chrome,Direct,Australia,True,False,17
VISIT001804,2024-01-19 02:00:00,/about,498,Desktop,Safari,Organic Search,USA,False,False,8
VISIT000007,2024-01-19 02:00:00,/cart,1593,Mobile,Firefox,Organic Search,France,False,False,15
VISIT000054,2024-01-19 08:00:00,/cart,3327,Desktop,Chrome,Paid Ads,France,True,False,19
VISIT001112,2024-01-19 08:00:00,/products,1413,Tablet,Firefox,Organic Search,UK,True,False,14
VISIT000925,2024-01-19 11:00:00,/products,118,Desktop,Chrome,Social Media,UK,True,False,11
VISIT001656,2024-01-19 11:00:00,/cart,3054,Desktop,Safari,Organic Search,Germany,True,False,1
VISIT000219,2024-01-19 12:00:00,/about,655,Mobile,Safari,Paid Ads,France,True,False,15
